fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 151, 0, 840, 139, 21, 1182,  28
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 185, 0, 846, 132, 22, 1137,  29
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 61, 0, 750, 239, 11, 921,  30
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 211, 0, 892, 77, 31, 1123,  31
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 0, 678, 322, 0, 142,  32
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 136, 0, 831, 150, 19, 1095,  33
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 112, 0, 814, 170, 16, 1047,  34
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 3, 0, 692, 308, 0, 108,  35
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 679, 321, 0, 80,  36
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 104, 0, 809, 176, 15, 830,  37
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 34, 0, 727, 269, 4, 506,  38
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 176, 0, 868, 108, 24, 1130,  39
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 21, 0, 735, 264, 1, 464,  40
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 84, 0, 795, 197, 8, 673,  41
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 692, 308, 0, 80,  42
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 119, 0, 820, 161, 19, 760,  43
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 702, 298, 0, 80,  44
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 721, 278, 1, 11,  45
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 12, 0, 686, 314, 0, 394,  46
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 147, 0, 864, 112, 24, 1078,  47
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 9, 0, 729, 268, 3, 214,  48
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 716, 284, 0, 80,  49
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 135, 0, 818, 165, 17, 894,  50
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 2, 0, 681, 318, 1, 80,  51
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 34, 0, 732, 264, 4, 566,  52
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 188, 0, 876, 86, 38, 1102,  53
 300, 5, 80, 10, 10, 0.02, 0.793, 0.7, 0.97, 5, 1000, 1, 0, 700, 300, 0, 80,  54
